filename,pageId,title,comparisonStatus,auditStatus,auditCoverage,callouts_expected,callouts_actual
"activate-procurement-failure-2025-12-10T08-55-13.html","2c5a89fe-dba5-81cb-a5c7-e0e6a19133a9","Activate Procurement","FAIL","FAIL","111.2","3","2"
"add-a-configuration-item-to-a-contract-failure-2025-12-10T08-48-00.html","2c5a89fe-dba5-81d0-98bb-c5ee3cd73211","Add a configuration item to a contract","FAIL","FAIL","116.1","","1"
"add-a-document-to-a-contract-failure-2025-12-10T08-48-35.html","2c5a89fe-dba5-814b-b7e0-c8cbe9b4a5d3","Add a document to a contract","FAIL","FAIL","120.6","","1"
"add-a-user-or-asset-to-a-contract-2025-12-10T08-51-28.html","2c5a89fe-dba5-8137-961f-fbb264c78c72","","undefined","undefined","","",""
"add-a-user-or-asset-to-a-contract-failure-2025-12-10T08-51-27.html","2c5a89fe-dba5-8137-961f-fbb264c78c72","Add a user or asset to a contract","FAIL","FAIL","132","1","4"
"add-a-user-to-a-contract-failure-2025-12-10T08-48-05.html","2c5a89fe-dba5-8121-9a0b-c2b60a0ab7f8","Add a user to a contract","FAIL","FAIL","118","2","1"
"add-an-asset-to-a-contract-failure-2025-12-10T08-48-02.html","2c5a89fe-dba5-81c1-ae19-ea22d21cb62d","Add an asset to a contract","FAIL","FAIL","119","","1"
"add-an-assignment-from-a-request-failure-2025-12-10T08-57-32.html","2c5a89fe-dba5-8161-abb4-e3102a21044a","Add an assignment from a request","FAIL","FAIL","115.2","2","1"
"add-or-remove-entitlements-for-a-contract-renewal-failure-2025-12-10T08-46-06.html","2c5a89fe-dba5-814c-b2af-fa800af8acd6","Add or remove entitlements for a contract renewal","FAIL","PASS","115.6","2","1"
"add-rate-cards-to-the-new-contract-failure-2025-12-10T08-46-00.html","2c5a89fe-dba5-812a-a879-c887c7995082","Add rate cards to the new contract","PASS","FAIL","114.7","1","1"
"add-terms-and-conditions-to-a-contract-2025-12-10T08-50-52.html","2c5a89fe-dba5-8187-8e56-fbaf57a5e38d","","undefined","undefined","","",""
"add-terms-and-conditions-to-a-contract-failure-2025-12-10T08-50-50.html","2c5a89fe-dba5-8187-8e56-fbaf57a5e38d","Add terms and conditions to a contract","FAIL","FAIL","135.7","1","5"
"approve-or-reject-a-contract-failure-2025-12-10T08-49-07.html","2c5a89fe-dba5-81f5-875b-e094ec180a2e","Approve or reject a contract","PASS","FAIL","114.5","1","1"
"approve-or-reject-a-contract-renewal-request-failure-2025-12-10T08-46-32.html","2c5a89fe-dba5-81d5-9348-d1e594c919ae","Approve or reject a contract renewal request","FAIL","PASS","125","","1"
"automatically-match-to-an-existing-model-using-the-legacy-so-failure-2025-12-10T08-29-35.html","2c5a89fe-dba5-8154-8b84-fe66e0c7715b","Automatically match to an existing model using the legacy Software Asset Management plugin","FAIL","PASS","105.5","2","1"
"build-a-terms-and-conditions-document-within-a-contract-failure-2025-12-10T08-50-00.html","2c5a89fe-dba5-81c0-8bf0-cd560978470c","Build a terms and conditions document within a contract","FAIL","FAIL","117.4","","1"
"cancel-a-contract-failure-2025-12-10T08-48-32.html","2c5a89fe-dba5-8108-9f7d-fd87387424f5","Cancel a contract","FAIL","FAIL","123.6","","1"
"cancel-a-purchase-order-failure-2025-12-10T08-58-28.html","2c5a89fe-dba5-8101-a0b9-e35c835e25ae","Cancel a purchase order","FAIL","FAIL","118.1","","1"
"cancel-a-purchase-order-line-item-failure-2025-12-10T08-58-35.html","2c5a89fe-dba5-810b-9be0-d612566bd3d7","Cancel a purchase order line item","FAIL","PASS","106.2","","1"
"cancel-a-request-from-the-service-catalog-failure-2025-12-10T08-57-33.html","2c5a89fe-dba5-8105-8411-f67bf52cd6ad","Cancel a request from the service catalog","FAIL","PASS","105.8","","1"
"create-a-contract-failure-2025-12-10T08-47-42.html","2c5a89fe-dba5-815f-a783-ffe6e3b355ac","Create a contract","FAIL","PASS","106.2","2","1"
"create-a-contract-rate-card-failure-2025-12-10T08-50-06.html","2c5a89fe-dba5-815a-8642-d478c6301168","Create a contract rate card","PASS","FAIL","108.1","1","1"
"create-a-contract-renewal-request-2025-12-10T08-45-45.html","2c5a89fe-dba5-81f4-afce-fd7353ea4233","","undefined","undefined","","",""
"create-a-contract-renewal-request-failure-2025-12-10T08-45-44.html","2c5a89fe-dba5-81f4-afce-fd7353ea4233","Create a contract renewal request","FAIL","FAIL","133.9","1","4"
"create-a-purchase-order-from-a-request-failure-2025-12-10T08-56-50.html","2c5a89fe-dba5-8126-81a6-c773825b75a9","Create a purchase order from a request","FAIL","PASS","108.5","3","1"
